# packages in environment at /Users/croth/anaconda3/envs/bioenv:
#
# Name                    Version                   Build  Channel
_r-mutex                  1.0.1               anacondar_1    conda-forge
appnope                   0.1.3              pyhd8ed1ab_0    conda-forge
asttokens                 2.4.1              pyhd8ed1ab_0    conda-forge
backports                 1.0                pyhd8ed1ab_3    conda-forge
backports.functools_lru_cache 1.6.5              pyhd8ed1ab_0    conda-forge
biopython                 1.81            py310hb372a2b_1    conda-forge
brotli                    1.1.0                h0dc2134_1    conda-forge
brotli-bin                1.1.0                h0dc2134_1    conda-forge
bwa                       0.7.17              h45fc8d7_11    bioconda
bwidget                   1.9.14               h694c41f_1    conda-forge
bzip2                     1.0.8                h0d85af4_4    conda-forge
c-ares                    1.20.1               h10d778d_1    conda-forge
ca-certificates           2023.7.22            h8857fd0_0    conda-forge
cairo                     1.16.0               h3ce6f7e_5  
cctools_osx-64            973.0.1             hcc6d90d_13    conda-forge
certifi                   2023.7.22          pyhd8ed1ab_0    conda-forge
clang                     14.0.6               h694c41f_1    conda-forge
clang-14                  14.0.6          default_hdb78580_1    conda-forge
clang_osx-64              14.0.6               h3113cd8_6    conda-forge
clangxx                   14.0.6          default_hdb78580_1    conda-forge
clangxx_osx-64            14.0.6               h6f97653_6    conda-forge
compiler-rt               14.0.6               hda8b6b8_0  
compiler-rt_osx-64        14.0.6               h8d5cb93_0  
contourpy                 1.1.1           py310h88cfcbd_1    conda-forge
curl                      8.4.0                h04015c4_0  
cycler                    0.12.1             pyhd8ed1ab_0    conda-forge
decorator                 5.1.1              pyhd8ed1ab_0    conda-forge
exceptiongroup            1.1.3              pyhd8ed1ab_0    conda-forge
executing                 2.0.1              pyhd8ed1ab_0    conda-forge
expat                     2.5.0                hf0c8a7f_1    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 hab24e00_0    conda-forge
fontconfig                2.14.2               h5bb23bf_0    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
fonttools                 4.43.1          py310hb372a2b_0    conda-forge
freetype                  2.12.1               h60636b9_2    conda-forge
fribidi                   1.0.10               hbcb3906_0    conda-forge
gettext                   0.21.1               h8a4c099_0    conda-forge
gfortran_impl_osx-64      11.3.0              h29cdc64_28  
gfortran_osx-64           11.3.0               h96634ac_0  
glib                      2.78.0               h7d26f99_0    conda-forge
glib-tools                2.78.0               h7d26f99_0    conda-forge
gmp                       6.2.1                h2e338ed_0    conda-forge
graphite2                 1.3.13            h2e338ed_1001    conda-forge
gsl                       2.7                  h93259b0_0    conda-forge
harfbuzz                  7.3.0                h413ba03_0    conda-forge
htslib                    1.18                 h365c357_0    bioconda
icu                       72.1                 h7336db1_0    conda-forge
ipython                   8.17.2             pyh31c8845_0    conda-forge
